country,iso3,isoYear,postponed1,postponedDate1,heldDate,postponedDate2,specialVoting,mobileBallot,earlyVoting,pollingStation,postalVoting,proxyVoting,postponed2,heldMonth,werePostponed,heldYear,heldMonthYear,postponedMonthYear,postponedMonthYear2,postponedYear,held2020,heldAtAll,electoralViolation,stringencyPostponed,posponedDay,posponedDay2,posponedDayMonth,posponedDayMonth2,heldDay,sameDate,heldDayMonth,heldDayMonthISO,type,typeGrouped,continent,demIndex,demIndexCat,demIndexScaleX,demIndexScaleY,turnout_reg_votes,turnout_prev_el,turnoutDiffOld,turnoutDiff,incumbentWon,note,stringency_index,gdpCapita,hdi,date,day,month,dayMonth,year,turnoutCat,heldDateParsed,postponedDateParsed1,postponedDateParsed2,postponedDays1,postponedDays2,specialVotingExists,heldMonthYearDate,postponedMonthYearDate,heldDiff,turnoutStrigency,d,d1,id,position,index,x,y,vy,vx
Mexico,MEX,MEX2021parliamentary,,,,,,,,,,,,June,no,2021,June 2021,,,,,yes,,,,,,,6,,6_June,6_June_MEX_2021,parliamentary,parliamentary,Americas,6.07,hybrid regime,11,11,53,63,,,yes,,44.44,17336.469,0.779,06.06.21,6,June,6_June,2021,unknown,,,,,,no,2021-05-31T22:00Z,,1622498400000,notstrigent_higher,"M22.6,30.6c-6.8,0.7-13.6,0.7-20.4,0C0.9,20.9,0.7,11.1,1.6,1.4C8.7,1.2,15.9,1.4,23.1,2C22.5,11.6,22,21.2,22.6,30.6z M12.8,12.2h6.3 M13.1,23.8c2-0.1,3.9,0,5.9,0.3 M4.3,11c1,0.6,1.8,1.6,2.2,2.7c0.3-1.2,0.7-2.3,1.3-3.4c0.6-1.1,1.6-1.9,2.7-2.2",,5,5,10,738.4059154441891,353.7896876472842,6.555497778146271e-9,6.369324509167399e-9
Mongolia,MNG,MNG2021presedential,,,,,,,,,,,,June,no,2021,June 2021,,,,,yes,,,,,,,9,,9_June,9_June_MNG_2021,presedential,presedential,Asia-Pacific,6.48,democracy,3,5,59,61,-2,-2,doesnt apply,,53.7,11840.846,0.737,09.06.21,9,June,9_June,2021,decrease,,,,,,no,2021-05-31T22:00Z,,1622498400000,strigent_lower,"M23,30.3C16,29.5,8.8,29.2,1.7,29.4c0.2-9.4,0.3-19-0.2-27.9c6.9-0.1,13.9-0.2,21-0.1C23.2,11,23.4,20.6,23,30.3z M13.4,12.4c2.1,0.2,4.3,0.1,6.4-0 M14,22.7c2-0.2,4-0.3,6-0.1 M5.6,10.8l2.1,3.8c0.7-2.5,1.9-4.9,3.7-6.9",,6,6,11,612.2615522498247,385.1441006745798,-2.257802133062867e-9,3.02005513590867e-9
Switzerland,CHE,CHE2021referendum,,,,,,,,,,,,June,no,2021,June 2021, ,,,,yes,,,,,,,13,,13_June,13_June_CHE_2021,referendum,referendum,Europe,8.83,democracy,1,7,59,,,,,,48.15,57410.166,0.955,13.06.21,13,June,13_June,2021,unknown,,,,,,no,2021-05-31T22:00Z,,1622498400000,notstrigent_higher,"M21.3,30.5C15,30,8.7,30.1,2.4,30.6c-0.7-9.8-1-19.4-1.2-28.7c7.3-0.7,14.6-0.6,21.9,0.3C22.7,11.7,22.3,21.2,21.3,30.5z M12.2,11.4c2.1,0.4,4.3,0.5,6.4,0.4 M12.4,20.9l6.1-0.5 M4.1,11.5c1.4,1,2.5,2.4,3.2,4c-0.2-1.7,0-3.5,0.7-5.1c0.5-1.4,1.7-2.5,3.1-3",,7,7,12,666.3638441985037,291.5475142118249,-2.1167304150873253e-9,6.686293310941786e-10
Algeria,DZA,DZA2020referendum,,,,,,,,,,,,November,no,2020,November 2020,,,,yes,yes,,,,,,,1,,1_November,1_November_DZA_2020,referendum,referendum,Africa,3.77,authoritarian regime,9,2,,,,,,,75,13913.839,0.748,01.11.20,1,November,1_November,2020,unknown,,,,,,no,2020-10-31T23:00Z,,1604185200000,stringent_higher,"M21.1,30.8C14.6,31.1,8,31,1.5,30.6C1.2,20.7,1.3,11,1.6,1.4c6.9-0.1,13.8-0.2,20.4,0C23.4,10.3,23,19.5,21.1,30.8z M13.9,10.1c1.8-0.2,3.7-0.3,5.6-0.2 M13.9,20.1l5.7-0.3 M4.8,9.2l1.4,1.9c0.1,0.2,0.2,0.3,0.4,0.4c0.4,0.1,0.8-0.2,1-0.6C8.8,9.5,10,8.2,11.4,7",,1,1,13,670.1899877480529,164.7850449469392,1.0776199520015916e-9,5.500035025150629e-10
Belize,BLZ,BLZ2020parliamentary,,,,,proxy voting,,,,,yes,,November,no,2020,November 2020,,,,yes,yes,,,,,,,11,,11_November,11_November_BLZ_2020,parliamentary,parliamentary,Americas,,unclassified,5,9,82,73,9,9,no,,66.67,7824.362,0.716,11.11.20,11,November,11_November,2020,increase,,,,,,yes,2020-10-31T23:00Z,,1604185200000,stringent_higher,"M21.3,30.8L1.6,30.9C1,21,1,11.1,1.8,1.2c7.3,0.4,14.7,0.5,21.6,0.5C23.1,11.2,22.4,20.7,21.3,30.8z M12.8,9.9h5.6 M13,21.4l6-0.5 M4.1,9.4c1,0.7,1.7,1.7,2.1,2.9c0.2-2.2,1.6-4.1,3.7-4.8",,2,2,14,927.8504680702822,300.5443850153655,3.327508745871684e-11,2.2908754054664247e-10
Jordan,JOR,JOR2020parliamentary,,,,,polling station arrangement,,,yes,,,,November,no,2020,November 2020,,,,yes,yes,,,,,,,10,,10_November,10_November_JOR_2020,parliamentary,parliamentary,Middle East,3.62,authoritarian regime,9,4,30,36,-6,-6,doesnt apply,,78.7,8337.49,0.729,10.11.20,10,November,10_November,2020,decrease,,,,,,yes,2020-10-31T23:00Z,,1604185200000,strigent_lower,"M22.6,30.9c-7.1,0-14.2-0.2-21.2-0.5c0-9.6,0.2-19.2,0-28.7c7-0.4,14.1-0.5,21.1-0.1C22.6,11.6,22.5,21.6,22.6,30.9z M13.9,10.9l5.2,0.1 M13.1,21.5l5.6,0.1 M4.8,10.5l1.7,3.2c0.1,0.2,0.2,0.4,0.4,0.4s0.3-0.2,0.3-0.3l4.7-9",,3,3,15,507.8124317767659,256.7867318610733,-4.792383773132049e-9,6.168966764485351e-9
Moldova,MDA,MDA2020presedential,,,,,mobile ballot box,yes,,,,,,November,no,2020,November 2020,,,,yes,yes,,,,,,,1,,1_November,1_November_MDA_2020,presedential,presedential,Europe,5.78,hybrid regime,12,11,49,53,-4,-4,no,,48.15,5189.972,0.75,01.11.20,1,November,1_November,2020,decrease,,,,,,yes,2020-10-31T23:00Z,,1604185200000,notstrigent_lower,"M22.3,31.3C15.8,30.1,9.2,30,2.7,30.9C2.3,21,2,11.4,1.5,2.2c7.8-1,15.7-0.9,23.5,0.3C24,12,23.1,21.6,22.3,31.3z M12.7,11.4l6.6-0.5 M12.7,20.7l6.7,0.1 M5,9.7c0.9,1.1,1.7,2.3,2.4,3.5c0.6-2.4,1.9-4.5,3.8-6.1",,4,4,16,558.0387662264931,353.8867073147322,-2.0866715668911926e-10,1.422777225177585e-9
Myanmar,MMR,MMR2020parliamentary,,,,,"early voting, mobile ballot box",yes,yes,,,,,November,no,2020,November 2020,,,,yes,yes,some,,,,,,8,,8_November,8_November_MMR_2020,parliamentary,parliamentary,Asia-Pacific,3.04,authoritarian regime,9,5,72,70,2,2,yes,overthrown later by military,79.63,5591.597,0.583,08.11.20,8,November,8_November,2020,increase,,,,,,yes,2020-10-31T23:00Z,,1604185200000,stringent_higher,"M24.9,32L2.4,31.4c-1.1-10-1.5-20.1-1.1-30.2c7.8,0.1,15.5,0.3,23.4,1C25.1,12.2,24.9,22.3,24.9,32z M14.8,11.4c2.4-0.2,4.8-0.3,7.2-0.3 M14.9,21.9c2.6-0.2,5.1-0.3,7.7-0.1 M5.7,9.6l2.7,3.7c1.3-2.5,3-4.7,5-6.6",,5,5,17,768.9512115724325,251.2106683592035,2.1223580502887343e-9,1.1308306485237015e-9
Palau,PLW,PLW2020presedential,,,,,,,,,,,,November,no,2020,November 2020,,,,yes,yes,,,,,,,3,,3_November,3_November_PLW_2020,presedential,presedential,Asia-Pacific,,unclassified,5,10,48,63,-15,-15,doesnt apply,,,,,,,,,,decrease,,,,,,no,2020-10-31T23:00Z,,1604185200000,unknown,"M23.2,30.5L1.3,30.7C1.1,20.5,1.2,10.8,1.7,1.6c7.1-0.5,14.2-0.1,21.3,1.1C22.8,11.7,22.8,20.8,23.2,30.5z M11.5,12c2.6-0.4,5.2-0.7,7.8-0.7 M12.5,21.9c2.4,0.2,4.9,0.1,7.3-0.3 M4.6,9.7l1.9,2.9c1.1-2.5,2.7-4.9,4.5-6.9",,6,6,18,274.7262694182464,318.14806643244543,-6.29278364404373e-12,1.0754948183213352e-10
Burkina Faso,BFA,BFA2020both,,,,,,,,,,,,November,no,2020,November 2020,,,,yes,yes,,,,,,,22,,22_November,22_November_BFA_2020,parliamentary,both,Africa,3.73,authoritarian regime,11,2,51,60,-9,-9,yes,,22.22,1703.102,0.452,22.11.20,22,November,22_November,2020,decrease,,,,,,no,2020-10-31T23:00Z,,1604185200000,notstrigent_lower,"M19.8,26.9c-5-1.2-10-2.4-15-3.6c2-7.3,4-14.7,5.8-21.9c5,1.2,10.1,2.1,15.2,2.9C23.9,11.7,21.6,19,19.8,26.9z","M23.3,27.9c-5.7,1.3-11.3,2.5-17,3.8c-2-8.3-3.6-16.2-4.9-23.5C7.1,6,13.2,4.9,18.8,5.4C20.1,12.9,21.4,20.6,23.3,27.9z M5.7,12c0.4,0.7,1,1.4,1.8,1.9c0.9-1.5,1.9-2.9,2.8-4.4 M12.9,11.6c1.2-0.2,2.4-0.4,3.6-0.7 M14.8,21.5c1.1-0.4,2.3-0.7,3.4-1.2",7,7,19,446.51045259325986,338.05506037589095,1.6051925469386907e-9,-2.8957945029111044e-9
